Temp_Code,PH_Code,EC_Code,EC,PH,Temp,D
C,B,A,1,10,48,9.811027123375979
C,C,A,8,3,37,12.071495979553465
C,A,C,26,9,49,15.999026588237225
A,A,C,22,8,9,9.542103025098218
C,C,A,6,0,48,9.621309962072342
C,C,C,37,3,45,17.972835005875986
C,C,B,10,2,38,12.243371347087798
C,B,C,33,11,41,18.09322281058541
C,A,A,3,8,34,7.131302618438094
A,B,C,34,13,6,10.773537326047624
A,B,C,26,12,3,11.040495389076897
C,B,C,36,11,38,15.006787571197327
A,B,A,1,11,7,5.543429673067422
C,B,B,18,12,25,12.891911826931736
A,C,A,1,2,5,6.8558519229125015
B,B,A,6,13,18,5.831021291853826
C,A,B,11,8,27,10.288254917608716
B,A,B,17,9,20,10.454114932524401
C,B,B,13,12,39,12.466429643573923
C,C,C,31,0,22,18.17175532269733
C,A,B,14,8,30,10.523997942531018
C,B,C,39,14,36,17.463398572169133
C,A,A,5,9,45,7.07149365082566
A,B,C,39,12,5,14.80375136127736
A,A,A,5,8,10,4.502645973475472
C,C,C,34,5,33,18.77402895169596
A,A,C,24,9,10,7.547278681856021
C,C,C,34,1,38,18.04566797163818
C,A,A,6,9,39,7.528765520685723
C,A,B,11,8,58,10.287024854332234
C,C,C,31,3,29,20.283627231857132
C,B,C,39,10,42,15.999405591292847
C,C,C,27,1,30,18.080168164449695
A,C,A,5,2,2,6.36184107471548
C,C,C,36,5,58,17.278493362573272
C,A,C,30,9,23,15.624822862368347
C,C,C,23,6,26,15.516730872020714
C,B,C,28,13,38,17.42463261272434
B,C,B,11,5,18,15.34647042376162
C,A,C,29,7,25,14.174045765233181
C,C,C,22,3,23,15.659027969820427
C,C,B,18,2,28,13.363682712915445
B,C,C,30,3,18,16.760465253084828
C,A,B,13,8,33,9.940354535130231
C,B,C,27,14,45,16.820872677175167
C,C,A,7,4,41,11.437361935930369
A,A,A,7,9,6,4.424834437811493
C,B,C,37,12,29,18.898683140752325
C,C,C,35,3,41,17.393321087206033
C,C,A,7,6,48,10.615868725502297
C,A,C,21,8,23,12.150635281998955
C,C,A,1,5,56,11.8316814990992
B,A,C,34,7,15,11.895997256122403
C,B,A,9,14,35,8.494192120194027
C,A,B,19,7,30,9.137991268744383
C,B,A,5,14,37,11.068762407955838
C,B,A,4,12,30,10.043595971137819
C,C,B,17,4,51,14.141528085122875
C,C,C,26,3,26,20.185913656949232
A,A,C,29,7,7,11.62815890503784
C,B,A,1,14,38,11.166821821253311
C,B,C,30,14,24,15.350203849208995
C,C,B,10,2,50,14.577056613667708
B,C,A,6,0,13,11.419056201187303
B,B,A,5,11,16,10.465285019569972
A,C,C,26,1,10,11.107762799275147
C,C,C,38,5,60,14.575456953098556
C,B,B,17,14,37,11.779714150702386
C,C,C,34,6,30,16.573023927544327
A,C,C,39,6,2,12.687060072485572
B,B,C,23,12,20,14.116547843041062
A,C,C,24,3,7,11.98270071869726
B,B,B,18,10,15,8.09033141252752
B,C,A,5,0,18,5.887325886337868
C,C,A,8,2,25,10.784166369441909
A,C,C,35,0,10,14.81342271150432
C,C,C,27,0,39,16.2686857715183
A,B,C,26,12,7,12.935022095029606
C,C,C,20,5,43,17.796034988165474
A,C,B,12,5,5,9.507932993072686
A,C,C,34,3,8,13.940229474615297
C,A,C,24,7,22,12.219501380074922
B,C,A,3,1,11,12.315513264552736
C,B,B,12,10,39,12.520479203227811
C,C,C,20,2,31,18.765385864677313
A,C,C,28,5,3,13.498952156104965
C,C,C,39,1,31,18.8403505433915
C,C,C,34,5,38,18.1856112163
C,C,C,26,1,41,17.70319651310063
C,C,C,32,6,54,20.646870680564493
B,C,B,10,2,19,11.680784696749349
C,C,B,12,5,24,14.960015479304095
A,C,B,11,1,6,7.016765436294789
C,B,C,36,10,52,17.115446907327303
C,C,C,34,2,58,15.058091915009802
C,C,C,22,5,25,18.880738935981164
A,C,B,10,1,4,10.758385195601644
B,A,C,27,9,18,11.328071848655838
C,A,B,19,9,30,9.930102367382357
C,B,B,10,14,30,12.638008783776272
C,C,B,16,5,25,12.616720477200378
C,C,B,12,6,55,13.594295162786072
C,C,C,37,0,53,18.09266633853183
C,B,C,34,12,37,18.442091537463618
A,A,C,33,9,7,9.10245485044108
B,A,B,12,8,17,5.215053672423355
A,C,C,22,4,9,10.172016041156324
C,C,A,1,4,26,14.022081047530069
C,A,C,28,8,30,12.131853333582342
A,C,C,28,4,8,14.284969318457309
C,A,A,5,9,29,8.704140904567932
C,C,A,4,5,55,8.745242757843922
C,C,A,5,5,58,12.557686925058677
C,B,C,39,11,26,16.49648227034867
C,C,A,8,3,46,8.764465464952693
A,B,B,10,12,0,8.830559511088385
C,B,C,32,10,23,15.018748371248993
